update,env_steps,policy_loss,value_loss,entropy,approx_kl,clip_fraction,avg_step_reward,avg_episode_return,avg_episode_length,success_rate,action_std,explained_variance,update_time_ms,samples_per_second,inference_latency_ms,parameter_count_k
1,2048,-0.020883,1.329212,1.318080,0.008459,0.117188,0.866736,29.291891,34.250000,1.000000,0.904061,-0.105010,279.566681,7325.622559,0.050018,9.987000
2,4096,-0.059247,1.429219,1.322500,0.013799,0.203125,0.886398,41.103416,46.150002,1.000000,0.908066,-0.210500,191.242233,10708.931641,0.050018,9.987000
3,6144,0.067988,1.407255,1.325226,0.007859,0.093750,0.898223,54.369530,60.700001,1.000000,0.910544,-0.172652,239.302704,8558.198242,0.050018,9.987000
4,8192,0.084167,1.313222,1.333368,0.007570,0.117188,0.868137,66.841751,76.949997,1.000000,0.917989,-0.183144,278.184753,7362.014160,0.050018,9.987000
5,10240,-0.075995,1.525002,1.345477,0.008868,0.117188,0.869222,73.667633,85.000000,1.000000,0.929172,-0.239969,318.294678,6434.289062,0.086970,9.987000
6,12288,0.048100,1.315015,1.353548,0.008494,0.132812,0.855166,77.799606,93.500000,1.000000,0.936702,-0.360861,301.369781,6795.638184,0.086970,9.987000
7,14336,0.036220,1.201498,1.360886,0.003088,0.039062,0.795346,101.296883,123.349998,1.000000,0.943600,-0.481442,352.792389,5805.113770,0.086970,9.987000
8,16384,0.038210,1.097552,1.365266,0.007398,0.070312,0.809666,116.673607,145.399994,1.000000,0.947743,-0.248009,335.137329,6110.927734,0.086970,9.987000
9,18432,-0.102739,1.090499,1.372346,0.004069,0.015625,0.832583,107.874466,128.199997,1.000000,0.954476,-0.027183,315.025574,6501.059570,0.086970,9.987000
10,20480,-0.035851,0.867713,1.378263,0.001562,0.007812,0.803482,103.189110,127.250000,1.000000,0.960141,0.169490,318.179382,6436.621094,0.061266,9.987000
11,22528,-0.145484,0.877674,1.380463,0.002431,0.000000,0.827334,114.257736,139.750000,1.000000,0.962256,0.300201,230.337341,8891.306641,0.061266,9.987000
12,24576,-0.092246,0.557629,1.387109,0.008772,0.101562,0.806389,111.379776,138.850006,1.000000,0.968672,0.485724,244.892105,8362.866211,0.061266,9.987000
13,26624,-0.082061,0.588429,1.392714,0.003967,0.046875,0.804085,119.249496,150.300003,1.000000,0.974116,0.357986,291.492828,7025.901855,0.061266,9.987000
14,28672,0.024598,0.526831,1.396049,0.004514,0.046875,0.804844,125.628250,157.449997,1.000000,0.977371,0.314673,323.723877,6326.378906,0.061266,9.987000
15,30720,0.098852,0.442431,1.397808,0.002514,0.015625,0.858980,147.084091,180.100006,1.000000,0.979092,0.616462,372.173096,5502.815918,0.084254,9.987000
16,32768,-0.002762,0.316031,1.404212,0.005871,0.054688,0.804434,161.957916,193.050003,1.000000,0.985382,0.596326,284.849121,7189.771484,0.084254,9.987000
17,34816,-0.029622,0.410371,1.406603,0.001188,0.000000,0.839011,148.030930,179.350006,1.000000,0.987740,0.555541,285.009247,7185.731934,0.084254,9.987000
18,36864,0.194171,0.193450,1.413406,0.002716,0.039062,0.811854,156.099823,193.399994,1.000000,0.994482,0.746354,221.161926,9260.183594,0.084254,9.987000
19,38912,-0.050020,0.270038,1.415855,0.004793,0.039062,0.857623,179.942413,220.300003,1.000000,0.996921,0.668326,288.069427,7109.397461,0.084254,9.987000
20,40960,0.072610,0.239484,1.417122,0.000518,0.000000,0.842767,202.176575,247.949997,1.000000,0.998185,0.661792,323.906769,6322.806641,0.081699,9.987000
21,43008,0.030934,0.133492,1.425006,0.004877,0.062500,0.825336,212.785934,253.149994,1.000000,1.006086,0.736183,342.155609,5985.580566,0.081699,9.987000
22,45056,-0.043788,0.157023,1.431371,0.005544,0.062500,0.788563,206.203690,250.000000,1.000000,1.012510,0.604342,321.777069,6364.654785,0.081699,9.987000
23,47104,-0.052635,0.134188,1.436872,0.002141,0.015625,0.791765,206.483276,252.550003,1.000000,1.018096,0.684489,336.618927,6084.030762,0.081699,9.987000
24,49152,-0.059920,0.132156,1.435055,0.000299,0.000000,0.785548,187.380829,231.500000,1.000000,1.016247,0.703227,322.597046,6348.477051,0.081699,9.987000
25,51200,0.024410,0.153694,1.432215,0.003021,0.015625,0.819655,182.102844,233.050003,1.000000,1.013365,0.686979,323.244019,6335.770996,0.067689,9.987000
26,53248,0.099907,0.157187,1.427586,0.003581,0.023438,0.853742,207.627365,265.950012,1.000000,1.008685,0.704986,269.389465,7602.376465,0.067689,9.987000
27,55296,-0.171346,0.134086,1.420067,0.000920,0.000000,0.854643,229.131668,289.600006,1.000000,1.001129,0.533984,335.616241,6102.208008,0.067689,9.987000
28,57344,0.054503,0.208123,1.422341,0.002966,0.015625,0.857292,242.921219,304.450012,1.000000,1.003409,0.689723,316.815521,6464.329590,0.067689,9.987000
29,59392,-0.034955,0.138980,1.421895,0.003802,0.046875,0.846665,279.659851,342.350006,1.000000,1.002960,0.726272,309.806824,6610.570801,0.067689,9.987000
30,61440,-0.069096,0.093677,1.426740,0.002824,0.015625,0.865458,290.707703,353.950012,1.000000,1.007832,0.790337,300.689697,6811.008301,0.071150,9.987000
