step,reward,action,value,obs0,obs1,obs2,obs3,terminated,truncated
1,0.998029,0.126500,63.289825,0.016219,0.059236,0.042795,-0.086844,0,0
2,0.997997,0.072638,63.155472,0.017398,0.057206,0.075183,-0.116006,0,0
3,0.998018,0.052330,63.089310,0.019133,0.054742,0.098228,-0.130528,0,0
4,0.998063,0.043985,63.046207,0.021289,0.052043,0.117441,-0.139460,0,0
5,0.998113,0.039752,63.011101,0.023811,0.049189,0.134719,-0.145960,0,0
6,0.998162,0.036889,62.978939,0.026665,0.046220,0.150697,-0.151123,0,0
7,0.998204,0.034452,62.948105,0.029828,0.043157,0.165575,-0.155333,0,0
8,0.998240,0.032121,62.918152,0.033277,0.040018,0.179404,-0.158728,0,0
9,0.998267,0.029796,62.889034,0.036993,0.036818,0.192190,-0.161362,0,0
10,0.998285,0.027448,62.860863,0.040954,0.033574,0.203925,-0.163266,0,0
11,0.998294,0.025072,62.833767,0.045140,0.030298,0.214598,-0.164459,0,0
12,0.998294,0.022676,62.807880,0.049527,0.027006,0.224203,-0.164963,0,0
13,0.998282,0.020267,62.783348,0.054097,0.023710,0.232736,-0.164796,0,0
14,0.998261,0.017856,62.760296,0.058826,0.020424,0.240198,-0.163983,0,0
15,0.998229,0.015450,62.738846,0.063694,0.017160,0.246592,-0.162546,0,0
16,0.998187,0.013061,62.719078,0.068679,0.013932,0.251928,-0.160512,0,0
17,0.998134,0.010695,62.701080,0.073760,0.010749,0.256218,-0.157906,0,0
18,0.998071,0.008363,62.684929,0.078917,0.007625,0.259479,-0.154759,0,0
19,0.997999,0.006071,62.670681,0.084129,0.004568,0.261729,-0.151099,0,0
20,0.997917,0.003828,62.658363,0.089377,0.001589,0.262992,-0.146958,0,0
21,0.997826,0.001641,62.648003,0.094639,-0.001302,0.263295,-0.142366,0,0
22,0.997727,-0.000484,62.639610,0.099899,-0.004098,0.262665,-0.137356,0,0
23,0.997620,-0.002540,62.633175,0.105137,-0.006789,0.261136,-0.131962,0,0
24,0.997507,-0.004520,62.628689,0.110335,-0.009369,0.258740,-0.126216,0,0
25,0.997388,-0.006421,62.626106,0.115478,-0.011831,0.255515,-0.120153,0,0
26,0.997264,-0.008236,62.625378,0.120548,-0.014169,0.251501,-0.113806,0,0
27,0.997136,-0.009962,62.626461,0.125530,-0.016377,0.246736,-0.107209,0,0
28,0.997005,-0.011594,62.629280,0.130410,-0.018452,0.241264,-0.100397,0,0
29,0.996872,-0.013129,62.633766,0.135174,-0.020388,0.235128,-0.093402,0,0
30,0.996738,-0.014564,62.639828,0.139809,-0.022184,0.228374,-0.086258,0,0
31,0.996603,-0.015896,62.647377,0.144303,-0.023835,0.221046,-0.078998,0,0
32,0.996470,-0.017124,62.656322,0.148646,-0.025340,0.213193,-0.071654,0,0
33,0.996338,-0.018245,62.666557,0.152826,-0.026698,0.204862,-0.064258,0,0
34,0.996209,-0.019259,62.677963,0.156836,-0.027908,0.196100,-0.056841,0,0
35,0.996084,-0.020165,62.690453,0.160666,-0.028969,0.186956,-0.049433,0,0
36,0.995963,-0.020962,62.703907,0.164310,-0.029883,0.177478,-0.042061,0,0
37,0.995847,-0.021652,62.718212,0.167762,-0.030651,0.167713,-0.034756,0,0
38,0.995737,-0.022234,62.733261,0.171016,-0.031273,0.157710,-0.027542,0,0
39,0.995633,-0.022709,62.748943,0.174069,-0.031752,0.147515,-0.020447,0,0
40,0.995537,-0.023080,62.765152,0.176916,-0.032091,0.137174,-0.013494,0,0
41,0.995448,-0.023347,62.781788,0.179555,-0.032292,0.126734,-0.006706,0,0
42,0.995367,-0.023514,62.798744,0.181984,-0.032360,0.116238,-0.000105,0,0
43,0.995294,-0.023581,62.815929,0.184204,-0.032298,0.105730,0.006289,0,0
44,0.995229,-0.023554,62.833244,0.186214,-0.032110,0.095252,0.012456,0,0
45,0.995173,-0.023433,62.850609,0.188015,-0.031801,0.084844,0.018380,0,0
46,0.995126,-0.023224,62.867939,0.189609,-0.031377,0.074545,0.024045,0,0
47,0.995087,-0.022929,62.885151,0.190998,-0.030842,0.064393,0.029437,0,0
48,0.995058,-0.022552,62.902184,0.192186,-0.030202,0.054423,0.034542,0,0
49,0.995036,-0.022098,62.918961,0.193177,-0.029463,0.044670,0.039349,0,0
50,0.995024,-0.021570,62.935432,0.193975,-0.028632,0.035163,0.043849,0,0
51,0.995019,-0.020973,62.951538,0.194586,-0.027713,0.025935,0.048033,0,0
52,0.995022,-0.020312,62.967232,0.195016,-0.026714,0.017011,0.051895,0,0
53,0.995033,-0.019591,62.982460,0.195270,-0.025641,0.008419,0.055430,0,0
54,0.995051,-0.018815,62.997200,0.195356,-0.024501,0.000181,0.058634,0,0
55,0.995076,-0.017989,63.011414,0.195281,-0.023300,-0.007682,0.061504,0,0
56,0.995107,-0.017118,63.025066,0.195053,-0.022045,-0.015148,0.064039,0,0
57,0.995144,-0.016206,63.038139,0.194679,-0.020743,-0.022203,0.066241,0,0
58,0.995186,-0.015259,63.050602,0.194169,-0.019400,-0.028831,0.068111,0,0
59,0.995234,-0.014281,63.062450,0.193530,-0.018023,-0.035019,0.069652,0,0
60,0.995285,-0.013278,63.073669,0.192773,-0.016618,-0.040757,0.070868,0,0
61,0.995341,-0.012254,63.084248,0.191905,-0.015193,-0.046036,0.071765,0,0
62,0.995400,-0.011213,63.094173,0.190936,-0.013752,-0.050850,0.072349,0,0
63,0.995462,-0.010161,63.103447,0.189875,-0.012303,-0.055195,0.072628,0,0
64,0.995526,-0.009102,63.112064,0.188733,-0.010852,-0.059068,0.072610,0,0
